,DOGE
2021-11-14 07:00:00,0.2617
2021-11-14 08:00:00,0.2692
2021-11-14 09:00:00,0.2718
2021-11-14 10:00:00,0.2664
2021-11-14 11:00:00,0.2644
2021-11-14 12:00:00,0.2641
2021-11-14 13:00:00,0.2654
2021-11-14 14:00:00,0.2649
2021-11-14 15:00:00,0.2619
2021-11-14 16:00:00,0.262
2021-11-14 17:00:00,0.2623
2021-11-14 18:00:00,0.2627
2021-11-14 19:00:00,0.2622
2021-11-14 20:00:00,0.2619
2021-11-14 21:00:00,0.2621
2021-11-14 22:00:00,0.263
2021-11-14 23:00:00,0.2629
2021-11-15 00:00:00,0.2652
2021-11-15 01:00:00,0.2643
2021-11-15 02:00:00,0.2639
2021-11-15 03:00:00,0.2627
2021-11-15 04:00:00,0.2643
2021-11-15 05:00:00,0.2647
2021-11-15 06:00:00,0.2641
2021-11-15 07:00:00,0.2634
2021-11-15 08:00:00,0.2631
2021-11-15 09:00:00,0.2635
2021-11-15 10:00:00,0.2633
2021-11-15 11:00:00,0.2629
2021-11-15 12:00:00,0.2629
2021-11-15 13:00:00,0.264
2021-11-15 14:00:00,0.2619
2021-11-15 15:00:00,0.2602
2021-11-15 16:00:00,0.2597
2021-11-15 17:00:00,0.2603
2021-11-15 18:00:00,0.259
2021-11-15 19:00:00,0.2592
2021-11-15 20:00:00,0.2592
2021-11-15 21:00:00,0.2591
2021-11-15 22:00:00,0.2589
2021-11-15 23:00:00,0.2583
2021-11-16 00:00:00,0.2569
2021-11-16 01:00:00,0.2525
2021-11-16 02:00:00,0.252
2021-11-16 03:00:00,0.2499
2021-11-16 04:00:00,0.2488
2021-11-16 05:00:00,0.2492
2021-11-16 06:00:00,0.2486
2021-11-16 07:00:00,0.2476
2021-11-16 08:00:00,0.2469
2021-11-16 09:00:00,0.247
2021-11-16 10:00:00,0.2393
2021-11-16 11:00:00,0.2406
2021-11-16 12:00:00,0.2415
2021-11-16 13:00:00,0.2419
2021-11-16 14:00:00,0.2455
2021-11-16 15:00:00,0.2434
2021-11-16 16:00:00,0.2426
2021-11-16 17:00:00,0.242
2021-11-16 18:00:00,0.2417
2021-11-16 19:00:00,0.2414
2021-11-16 20:00:00,0.239
2021-11-16 21:00:00,0.24
2021-11-16 22:00:00,0.2409
2021-11-16 23:00:00,0.2403
2021-11-17 00:00:00,0.2389
2021-11-17 01:00:00,0.2392
2021-11-17 02:00:00,0.2365
2021-11-17 03:00:00,0.2362
2021-11-17 04:00:00,0.235
2021-11-17 05:00:00,0.2364
2021-11-17 06:00:00,0.2363
2021-11-17 07:00:00,0.2394
2021-11-17 08:00:00,0.2391
2021-11-17 09:00:00,0.2363
2021-11-17 10:00:00,0.2396
2021-11-17 11:00:00,0.24
2021-11-17 12:00:00,0.2399
2021-11-17 13:00:00,0.2414
2021-11-17 14:00:00,0.2398
2021-11-17 15:00:00,0.2371
2021-11-17 16:00:00,0.2392
2021-11-17 17:00:00,0.2392
2021-11-17 18:00:00,0.2385
2021-11-17 19:00:00,0.2386
2021-11-17 20:00:00,0.238
2021-11-17 21:00:00,0.2379
2021-11-17 22:00:00,0.2369
2021-11-17 23:00:00,0.2385
2021-11-18 00:00:00,0.2404
2021-11-18 01:00:00,0.2416
2021-11-18 02:00:00,0.241
2021-11-18 03:00:00,0.241
2021-11-18 04:00:00,0.239
2021-11-18 05:00:00,0.2357
2021-11-18 06:00:00,0.2353
2021-11-18 07:00:00,0.2348
2021-11-18 08:00:00,0.2353
2021-11-18 09:00:00,0.2332
2021-11-18 10:00:00,0.2332
2021-11-18 11:00:00,0.2337
2021-11-18 12:00:00,0.2329
2021-11-18 13:00:00,0.2308
2021-11-18 14:00:00,0.2298
2021-11-18 15:00:00,0.2293
2021-11-18 16:00:00,0.2254
2021-11-18 17:00:00,0.2278
2021-11-18 18:00:00,0.2285
2021-11-18 19:00:00,0.2282
2021-11-18 20:00:00,0.2279
2021-11-18 21:00:00,0.2273
2021-11-18 22:00:00,0.2248
2021-11-18 23:00:00,0.2227
2021-11-19 00:00:00,0.2252
2021-11-19 01:00:00,0.2252
2021-11-19 02:00:00,0.2228
2021-11-19 03:00:00,0.2193
2021-11-19 04:00:00,0.2218
2021-11-19 05:00:00,0.2235
2021-11-19 06:00:00,0.2247
2021-11-19 07:00:00,0.2234
2021-11-19 08:00:00,0.2276
2021-11-19 09:00:00,0.2282
2021-11-19 10:00:00,0.2264
2021-11-19 11:00:00,0.2268
2021-11-19 12:00:00,0.2282
2021-11-19 13:00:00,0.237
2021-11-19 14:00:00,0.2354
2021-11-19 15:00:00,0.2372
2021-11-19 16:00:00,0.2369
2021-11-19 17:00:00,0.2367
2021-11-19 18:00:00,0.2346
2021-11-19 19:00:00,0.2342
2021-11-19 20:00:00,0.2339
2021-11-19 21:00:00,0.2327
2021-11-19 22:00:00,0.2336
2021-11-19 23:00:00,0.2336
2021-11-20 00:00:00,0.2355
2021-11-20 01:00:00,0.2358
2021-11-20 02:00:00,0.236
2021-11-20 03:00:00,0.2341
2021-11-20 04:00:00,0.2337
2021-11-20 05:00:00,0.2339
2021-11-20 06:00:00,0.2338
2021-11-20 07:00:00,0.2347
2021-11-20 08:00:00,0.2337
2021-11-20 09:00:00,0.2337
2021-11-20 10:00:00,0.234
2021-11-20 11:00:00,0.2339
2021-11-20 12:00:00,0.2346
2021-11-20 13:00:00,0.2341
2021-11-20 14:00:00,0.2331
2021-11-20 15:00:00,0.2311
2021-11-20 16:00:00,0.2281
2021-11-20 17:00:00,0.2276
2021-11-20 18:00:00,0.2321
2021-11-20 19:00:00,0.2316
2021-11-20 20:00:00,0.2309
2021-11-20 21:00:00,0.2336
2021-11-20 22:00:00,0.2354
2021-11-20 23:00:00,0.2355
2021-11-21 00:00:00,0.2337
2021-11-21 01:00:00,0.2319
2021-11-21 02:00:00,0.2315
2021-11-21 03:00:00,0.2309
2021-11-21 04:00:00,0.2302
2021-11-21 05:00:00,0.2307
2021-11-21 06:00:00,0.2309
2021-11-21 07:00:00,0.2306
2021-11-21 08:00:00,0.2297
2021-11-21 09:00:00,0.2305
2021-11-21 10:00:00,0.2301
2021-11-21 11:00:00,0.2302
2021-11-21 12:00:00,0.2299
2021-11-21 13:00:00,0.2293
2021-11-21 14:00:00,0.2286
2021-11-21 15:00:00,0.2301
2021-11-21 16:00:00,0.2316
2021-11-21 17:00:00,0.2316
2021-11-21 18:00:00,0.2294
2021-11-21 19:00:00,0.2293
2021-11-21 20:00:00,0.2301
2021-11-21 21:00:00,0.2299
2021-11-21 22:00:00,0.2292
2021-11-21 23:00:00,0.2288
2021-11-22 00:00:00,0.2265
2021-11-22 01:00:00,0.2251
2021-11-22 02:00:00,0.2246
2021-11-22 03:00:00,0.2233
2021-11-22 04:00:00,0.2233
2021-11-22 05:00:00,0.2226
2021-11-22 06:00:00,0.2227
2021-11-22 07:00:00,0.2242
2021-11-22 08:00:00,0.2236
2021-11-22 09:00:00,0.2245
2021-11-22 10:00:00,0.2237
2021-11-22 11:00:00,0.2242
2021-11-22 12:00:00,0.2253
2021-11-22 13:00:00,0.2276
2021-11-22 14:00:00,0.2263
2021-11-22 15:00:00,0.2242
2021-11-22 16:00:00,0.2237
2021-11-22 17:00:00,0.2231
2021-11-22 18:00:00,0.2218
